completed_at,exercise_title
2025-10-06T00:00:00.000Z,GROUP BY single fields (2)
2025-08-13T00:00:00.000Z,Subtracting dates
2025-07-14T00:00:00.000Z,Pivot temperature by city and year
2025-07-08T00:00:00.000Z,Import package
2025-10-05T00:00:00.000Z,WHERE IN (2)
2025-08-17T00:00:00.000Z,Accessing and filtering data (1)
2025-08-17T00:00:00.000Z,Ordinal categorical variables
2025-08-19T00:00:00.000Z,Predicting house prices (1)
2025-09-26T00:00:00.000Z,Navigating the shell (1)
2025-07-15T00:00:00.000Z,Bringing it all together (2)
2025-10-11T00:00:00.000Z,Building on your LEFT JOIN (2)
2025-10-04T00:00:00.000Z,Assigning Roles to the Repository
2025-09-03T00:00:00.000Z,The classification challenge
2025-07-11T00:00:00.000Z,Creating a database engine
2025-09-21T00:00:00.000Z,Crafting a docstring (1)
2025-07-14T00:00:00.000Z,Slicing time series
2025-07-02T00:00:00.000Z,"and, or, not (1)"
2025-08-26T00:00:00.000Z,proportions_ztest() for two samples
2025-09-26T00:00:00.000Z,Saving files
2025-06-30T00:00:00.000Z,Choose the right plot (1)
2025-11-18T00:00:00.000Z,"Drop ""firstname"" and ""lastname"""
2025-07-13T00:00:00.000Z,Getting the right index
2025-08-16T00:00:00.000Z,What time did the bike leave? (Global edition)
2025-07-29T00:00:00.000Z,Switching between styles
2025-08-06T00:00:00.000Z,Updating data type to DateTime (2)
2025-07-15T00:00:00.000Z,Price of conventional vs. organic avocados (3)
2025-08-19T00:00:00.000Z,Back transformation (1)
2025-07-08T00:00:00.000Z,Different ways of importing
2025-10-11T00:00:00.000Z,"This is a LEFT JOIN, right? (2)"
2025-10-05T00:00:00.000Z,Big time
2025-08-11T00:00:00.000Z,Mean vs. median (1)
2025-08-21T00:00:00.000Z,Generating a bootstrap distribution (4)
2025-09-04T00:00:00.000Z,The ROC curve (1)
2025-09-04T00:00:00.000Z,Pipeline for song genre prediction: I
2025-09-04T00:00:00.000Z,Regularized regression
2025-07-22T00:00:00.000Z,The truth about salaries
2025-08-17T00:00:00.000Z,Additional datetime methods in Pandas
2025-08-26T00:00:00.000Z,Performing a chi-square test (3)
2025-07-29T00:00:00.000Z,Saving a file several times (1)
2025-07-08T00:00:00.000Z,Delete list elements
2025-10-05T00:00:00.000Z,Using AND (3)
2025-08-19T00:00:00.000Z,Extracting leverage and influence (1)
2025-09-03T00:00:00.000Z,"P-values, alpha, and errors"
2025-10-11T00:00:00.000Z,Query information_schema with SELECT
2025-08-20T00:00:00.000Z,Proportional stratified sampling (2)
2025-08-20T00:00:00.000Z,Replicating samples (2)
2025-09-24T00:00:00.000Z,Decorators that take arguments
2025-08-18T00:00:00.000Z,Point and count plots
2025-09-02T00:00:00.000Z,Factorial designs: principles and applications
2025-09-21T00:00:00.000Z,Crafting a docstring (3)
2025-06-30T00:00:00.000Z,Colors
2025-07-02T00:00:00.000Z,Basic while loop
2025-08-12T00:00:00.000Z,Simulating sales deals
2025-07-13T00:00:00.000Z,Completeness
2025-09-28T00:00:00.000Z,Congratulations
2025-09-02T00:00:00.000Z,Understanding marketing campaign effectiveness
2025-08-12T00:00:00.000Z,Simulating sales deals (3)
2025-08-12T00:00:00.000Z,Simulating wait times (4)
2025-08-20T00:00:00.000Z,Cluster sampling
2025-07-11T00:00:00.000Z,Customizing your spreadsheet import
2025-07-29T00:00:00.000Z,Selecting a style for printing
2025-07-14T00:00:00.000Z,Subsetting columns (1)
2025-08-20T00:00:00.000Z,Proportional stratified sampling (1)
2025-07-15T00:00:00.000Z,Recapping built-in functions
2025-09-09T00:00:00.000Z,Scaling fish data for clustering
2025-08-20T00:00:00.000Z,Simple sampling and calculating with NumPy (2)
2025-07-03T00:00:00.000Z,Loop over DataFrame (1)
2025-07-29T00:00:00.000Z,Customizing point plots
2025-08-19T00:00:00.000Z,Most likely outcome
2025-07-25T00:00:00.000Z,Half-empty glass
2025-07-17T00:00:00.000Z,Self join
2025-09-28T00:00:00.000Z,GitHub issues
2025-08-19T00:00:00.000Z,Drawing diagnostic plots (3)
2025-07-29T00:00:00.000Z,Adding a third variable with hue
2025-09-24T00:00:00.000Z,Modifying variables outside local scope (2)
2025-08-20T00:00:00.000Z,Understanding random seeds (2)
2025-10-11T00:00:00.000Z,Joining multiple tables (1)
2025-07-14T00:00:00.000Z,Working with pivot tables
2025-08-18T00:00:00.000Z,Creating a Boolean encoding
2025-07-06T00:00:00.000Z,Cleaning text data
2025-09-28T00:00:00.000Z,Introducing queries
2025-08-20T00:00:00.000Z,Are these findings generalizable? (1)
2025-07-15T00:00:00.000Z,CSV to DataFrame
2025-08-20T00:00:00.000Z,3 kinds of sampling (3)
2025-09-04T00:00:00.000Z,Fit and predict for regression
2025-07-29T00:00:00.000Z,Creating subplots with col and row
2025-10-05T00:00:00.000Z,Learning to COUNT()
2025-07-06T00:00:00.000Z,Finding consistency (3)
2025-08-21T00:00:00.000Z,Compare sampling and bootstrap standard deviations (1)
2025-11-18T00:00:00.000Z,CONCATenate columns to a surrogate key (2)
2025-07-30T00:00:00.000Z,FacetGrids vs. AxesSubplots
2025-07-29T00:00:00.000Z,Changing the scale (1)
